Data1:
lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		0.0713715
899.5		0.0677283
899		0.0666532
898.5		0.0713858
898		0.079158
897.5		0.0671002
897		0.0800699
896.5		0.0752787
896		0.0725606
895.5		0.0708746
895		0.0795264
894.5		0.0791165
894		0.0715549
893.5		0.0721988
893		0.0698599
892.5		0.0687329
892		0.069509
891.5		0.066567
891		0.0749242
890.5		0.0679408
890		0.073619
889.5		0.0728131
889		0.0740146
888.5		0.075742
888		0.0731414
887.5		0.0771242
887		0.0726196
886.5		0.0763868
886		0.0723383
885.5		0.0733863
885		0.067715
884.5		0.0795788
884		0.0747999
883.5		0.0714856
883		0.0778086
882.5		0.074089
882		0.0753944
881.5		0.069579
881		0.0724739
880.5		0.0760563
880		0.080426
879.5		0.0756439
879		0.0743894
878.5		0.0739144
878		0.0714214
877.5		0.0725911
877		0.0747454
876.5		0.0719895
876		0.0757377
875.5		0.0767826
875		0.0770011
874.5		0.0743777
874		0.0761329
873.5		0.0744195
873		0.0729492
872.5		0.0754241
872		0.0758134
871.5		0.0737771
871		0.0783541
870.5		0.0735849
870		0.0712
869.5		0.0741923
869		0.0741555
868.5		0.07496
868		0.0740999
867.5		0.0758166
867		0.07776
866.5		0.0737885
866		0.0735543
865.5		0.0741111
865		0.0760257
864.5		0.0734916
864		0.0739633
863.5		0.0742515
863		0.0750273
862.5		0.0763549
862		0.0728569
861.5		0.0761725
861		0.0749222
860.5		0.0758669
860		0.0758101
859.5		0.0761573
859		0.0741328
858.5		0.0756403
858		0.0749777
857.5		0.0747207
857		0.0746254
856.5		0.075156
856		0.0746756
855.5		0.0752869
855		0.0755745
854.5		0.0755613
854		0.0765801
853.5		0.0742466
853		0.0759017
852.5		0.0756278
852		0.0754959
851.5		0.0761139
851		0.0758981
850.5		0.0755389
850		0.0752028
849.5		0.0746917
849		0.0760419
848.5		0.0754476
848		0.0762553
847.5		0.0761867
847		0.0766423
846.5		0.0764457
846		0.0762018
845.5		0.0764514
845		0.0764369
844.5		0.0755797
844		0.0767029
843.5		0.0765602
843		0.075792
842.5		0.0767711
842		0.0758845
841.5		0.0770524
841		0.0756783
840.5		0.076695
840		0.0767104
839.5		0.076741
839		0.0757441
838.5		0.0768092
838		0.0769992
837.5		0.0766189
837		0.0775854
836.5		0.07674
836		0.0765276
835.5		0.0770753
835		0.076946
834.5		0.0772055
834		0.0773886
833.5		0.0771366
833		0.0768925
832.5		0.0768849
832		0.0772212
831.5		0.0774809
831		0.0769307
830.5		0.0771912
830		0.0775425
829.5		0.0774515
829		0.0771292
828.5		0.077375
828		0.0770303
827.5		0.0774059
827		0.0771835
826.5		0.0769307
826		0.0773756
825.5		0.0769767
825		0.0772913
824.5		0.0774908
824		0.076831
823.5		0.0776912
823		0.0773988
822.5		0.0772
822		0.0773525
821.5		0.0771457
821		0.0774374
820.5		0.0767009
820		0.0774142
819.5		0.0773381
819		0.0773691
818.5		0.0770152
818		0.0770077
817.5		0.0769462
817		0.0773227
816.5		0.0767772
816		0.0769844
815.5		0.0768234
815		0.0770385
814.5		0.0768385
814		0.0772691
813.5		0.0770923
813		0.0770461
812.5		0.0768924
812		0.076631
811.5		0.0771077
811		0.0765235
810.5		0.0766008
810		0.0769231
809.5		0.0767467
809		0.0763924
808.5		0.0770769
808		0.0765617
807.5		0.0770077
807		0.0767386
806.5		0.0769154
806		0.0769231
805.5		0.0764929
805		0.0767384
804.5		0.0768078
804		0.0764776
803.5		0.0766077
803		0.0764547
802.5		0.0763466
802		0.0761867
801.5		0.0762085
801		0.0762915
800.5		0.0762104
800		0.0760468
799.5		0.0763466
