lambda		value

Calibration:
lambda:	800
Abs:	0.0003

Data:
#
900		0.188513
899.5		0.174161
899		0.166044
898.5		0.18359
898		0.185182
897.5		0.183154
897		0.203107
896.5		0.185113
896		0.184376
895.5		0.180603
895		0.188444
894.5		0.195176
894		0.180834
893.5		0.184743
893		0.192944
892.5		0.195244
892		0.204996
891.5		0.178853
891		0.182085
890.5		0.174379
890		0.189296
889.5		0.183673
889		0.178396
888.5		0.185579
888		0.191825
887.5		0.182687
887		0.181827
886.5		0.185294
886		0.1846
885.5		0.182008
885		0.1818
884.5		0.187291
884		0.192995
883.5		0.186788
883		0.189731
882.5		0.180661
882		0.181128
881.5		0.180946
881		0.18296
880.5		0.190634
880		0.194721
879.5		0.188084
879		0.188191
878.5		0.191246
878		0.182046
877.5		0.185707
877		0.19103
876.5		0.182624
876		0.185906
875.5		0.189867
875		0.19082
874.5		0.189931
874		0.191129
873.5		0.193038
873		0.188264
872.5		0.188296
872		0.18544
871.5		0.190548
871		0.190163
870.5		0.185785
870		0.193093
869.5		0.186165
869		0.188075
868.5		0.186135
868		0.190576
867.5		0.187681
867		0.190747
866.5		0.19082
866		0.187407
865.5		0.189462
865		0.191262
864.5		0.187525
864		0.188086
863.5		0.187712
863		0.188799
862.5		0.191628
862		0.19025
861.5		0.188777
861		0.189605
860.5		0.191011
860		0.189862
859.5		0.190932
859		0.188591
858.5		0.190481
858		0.189914
857.5		0.189734
857		0.190623
856.5		0.18763
856		0.188758
855.5		0.189146
855		0.188281
854.5		0.189882
854		0.18931
853.5		0.190316
853		0.188455
852.5		0.189256
852		0.189074
851.5		0.189133
851		0.187908
850.5		0.18943
850		0.189085
849.5		0.190321
849		0.189205
848.5		0.188165
848		0.189592
847.5		0.188185
847		0.190067
846.5		0.189725
846		0.189408
845.5		0.19008
845		0.189601
844.5		0.190222
844		0.189921
843.5		0.18908
843		0.189766
842.5		0.189694
842		0.189602
841.5		0.189901
841		0.19042
840.5		0.190047
840		0.190533
839.5		0.190265
839		0.191131
838.5		0.189742
838		0.189816
837.5		0.189906
837		0.19049
836.5		0.19085
836		0.189925
835.5		0.190255
835		0.190074
834.5		0.190225
834		0.18979
833.5		0.190254
833		0.190287
832.5		0.190514
832		0.19041
831.5		0.190514
831		0.190329
830.5		0.191027
830		0.189671
829.5		0.190832
829		0.19058
828.5		0.189892
828		0.190177
827.5		0.190666
827		0.19041
826.5		0.190078
826		0.191137
825.5		0.189793
825		0.190277
824.5		0.191075
824		0.189972
823.5		0.190424
823		0.189896
822.5		0.18999
822		0.190281
821.5		0.18991
821		0.189691
820.5		0.189151
820		0.189934
819.5		0.190038
819		0.189514
818.5		0.189335
818		0.189308
817.5		0.190151
817		0.1895
816.5		0.189286
816		0.18906
815.5		0.189009
815		0.189084
814.5		0.189338
814		0.189514
813.5		0.18897
813		0.189157
812.5		0.189024
812		0.189519
811.5		0.189108
811		0.1885
810.5		0.188998
810		0.1886
809.5		0.187868
809		0.18837
808.5		0.188232
808		0.188294
807.5		0.188207
807		0.188138
806.5		0.188426
806		0.188245
805.5		0.187725
805		0.187982
804.5		0.187463
804		0.187587
803.5		0.187706
803		0.187331
802.5		0.187356
802		0.187562
801.5		0.187263
801		0.187713
800.5		0.186378
800		0.186456
799.5		0.186856
799		0.186065
798.5		0.186525
798		0.186026
797.5		0.187174
797		0.186807
796.5		0.186033
796		0.185884
795.5		0.185477
795		0.186019
794.5		0.186063
794		0.185296
793.5		0.18435
793		0.185856
792.5		0.185944
792		0.18556
791.5		0.184993
791		0.184569
790.5		0.184797
790		0.184392
789.5		0.185163
789		0.184224
788.5		0.184718
788		0.184168
