Data1:
lambda		value

Calibration:
lambda:	800
Abs:	-0.0003

Data:
#
900		0.1018
899.5		0.0931262
899		0.109049
898.5		0.10008
898		0.0920415
897.5		0.104189
897		0.0983033
896.5		0.108053
896		0.104497
895.5		0.0960424
895		0.100188
894.5		0.102853
894		0.0979351
893.5		0.108086
893		0.109019
892.5		0.101037
892		0.103497
891.5		0.100189
891		0.112078
890.5		0.100801
890		0.100295
889.5		0.0980609
889		0.0985251
888.5		0.109278
888		0.102278
887.5		0.100493
887		0.0982134
886.5		0.0980491
886		0.0972378
885.5		0.102225
885		0.0988103
884.5		0.105946
884		0.102648
883.5		0.103676
883		0.0992288
882.5		0.101686
882		0.0995005
881.5		0.100653
881		0.0983966
880.5		0.100242
880		0.105215
879.5		0.103368
879		0.101896
878.5		0.0998294
878		0.100853
877.5		0.101289
877		0.100856
876.5		0.104452
876		0.10136
875.5		0.0994419
875		0.10342
874.5		0.103159
874		0.104171
873.5		0.10285
873		0.105178
872.5		0.101616
872		0.100129
871.5		0.105395
871		0.105492
870.5		0.102424
870		0.102741
869.5		0.102454
869		0.10108
868.5		0.103624
868		0.101167
867.5		0.102129
867		0.100359
866.5		0.102464
866		0.102061
865.5		0.101019
865		0.102616
864.5		0.100534
864		0.101416
863.5		0.103934
863		0.100905
862.5		0.102047
862		0.101604
861.5		0.102201
861		0.101376
860.5		0.102867
860		0.102409
859.5		0.100986
859		0.101824
858.5		0.103476
858		0.101895
857.5		0.101597
857		0.101459
856.5		0.101139
856		0.102744
855.5		0.100059
855		0.101665
854.5		0.102009
854		0.102874
853.5		0.101944
853		0.101507
852.5		0.100975
852		0.101589
851.5		0.102849
851		0.10081
850.5		0.101484
850		0.102158
849.5		0.101866
849		0.101265
848.5		0.10126
848		0.101352
847.5		0.101688
847		0.102724
846.5		0.102001
846		0.10161
845.5		0.101811
845		0.100869
844.5		0.101372
844		0.102113
843.5		0.10117
843		0.101589
842.5		0.101908
842		0.101942
841.5		0.101524
841		0.101471
840.5		0.10174
840		0.101531
839.5		0.101243
839		0.102186
838.5		0.101926
838		0.102079
837.5		0.100781
837		0.101277
836.5		0.101865
836		0.101583
835.5		0.101653
835		0.101776
834.5		0.101956
834		0.101241
833.5		0.101468
833		0.101935
832.5		0.101858
832		0.10181
831.5		0.101262
831		0.10172
830.5		0.102033
830		0.101243
829.5		0.101285
829		0.101092
828.5		0.101813
828		0.101254
827.5		0.101455
827		0.101325
826.5		0.101055
826		0.101047
825.5		0.100917
825		0.100868
824.5		0.101267
824		0.100519
823.5		0.100699
823		0.100579
822.5		0.10104
822		0.10012
821.5		0.100439
821		0.100329
820.5		0.100149
820		0.1002
819.5		0.10096
819		0.0999
818.5		0.0997006
818		0.10025
817.5		0.10003
817		0.09994
816.5		0.0997803
816		0.0996608
815.5		0.099382
815		0.10039
814.5		0.0995602
814		0.0994
813.5		0.0996299
813		0.0991702
812.5		0.0996004
812		0.0993503
811.5		0.0991496
811		0.0989406
810.5		0.0988825
810		0.0984409
809.5		0.0990129
809		0.0987296
808.5		0.0988099
808		0.0990901
807.5		0.0989495
807		0.0986605
806.5		0.0988593
806		0.0984689
805.5		0.0978022
805		0.0985887
804.5		0.0981215
804		0.0981822
803.5		0.0984492
803		0.0978532
802.5		0.0979706
802		0.0976656
801.5		0.0974221
801		0.0977564
800.5		0.0968706
800		0.0973708
799.5		0.0973708
799		0.0971668
798.5		0.0972028
798		0.0971029
797.5		0.0974364
797		0.0969933
796.5		0.0969546
796		0.0966776
795.5		0.0966261
795		0.0966517
794.5		0.0965228
794		0.0962364
793.5		0.0962594
793		0.0962711
792.5		0.0960136
