lambda		value

Calibration:
lambda:	800
Abs:	0.0005

Data:
#
900		0.151421
899.5		0.152347
899		0.175467
898.5		0.154938
898		0.143564
897.5		0.153398
897		0.163425
896.5		0.168459
896		0.160962
895.5		0.152629
895		0.152425
894.5		0.163651
894		0.152726
893.5		0.154961
893		0.168063
892.5		0.153093
892		0.153348
891.5		0.158236
891		0.164305
890.5		0.155881
890		0.161681
889.5		0.161689
889		0.159956
888.5		0.160957
888		0.159216
887.5		0.159972
887		0.144325
886.5		0.161861
886		0.155259
885.5		0.163154
885		0.156056
884.5		0.161277
884		0.16314
883.5		0.168433
883		0.163631
882.5		0.152299
882		0.159668
881.5		0.156936
881		0.159474
880.5		0.161664
880		0.163485
879.5		0.164061
879		0.165601
878.5		0.155236
878		0.153761
877.5		0.160052
877		0.164967
876.5		0.159577
876		0.167389
875.5		0.160252
875		0.163636
874.5		0.162715
874		0.156987
873.5		0.165364
873		0.161835
872.5		0.162758
872		0.152107
871.5		0.163589
871		0.162466
870.5		0.157984
870		0.160092
869.5		0.159445
869		0.160997
868.5		0.16022
868		0.159161
867.5		0.157616
867		0.164501
866.5		0.159783
866		0.164225
865.5		0.1616
865		0.162404
864.5		0.159041
864		0.161976
863.5		0.161671
863		0.160382
862.5		0.162186
862		0.158672
861.5		0.162297
861		0.162494
860.5		0.162854
860		0.161722
859.5		0.162863
859		0.162235
858.5		0.162791
858		0.16056
857.5		0.163404
857		0.159563
856.5		0.161297
856		0.161924
855.5		0.16254
855		0.16194
854.5		0.164373
854		0.161972
853.5		0.163755
853		0.1625
852.5		0.161096
852		0.161446
851.5		0.163537
851		0.162154
850.5		0.16175
850		0.162473
849.5		0.162699
849		0.162547
848.5		0.162891
848		0.162963
847.5		0.162237
847		0.161762
846.5		0.162639
846		0.162467
845.5		0.16467
845		0.163437
844.5		0.164378
844		0.163669
843.5		0.163633
843		0.164707
842.5		0.164111
842		0.163098
841.5		0.16429
841		0.163983
840.5		0.16416
840		0.16408
839.5		0.165119
839		0.164439
838.5		0.164476
838		0.165577
837.5		0.163813
837		0.16457
836.5		0.165078
836		0.164225
835.5		0.165032
835		0.16579
834.5		0.164431
834		0.164895
833.5		0.164681
833		0.164597
832.5		0.165689
832		0.165672
831.5		0.165589
831		0.165191
830.5		0.165536
830		0.165223
829.5		0.165454
829		0.164878
828.5		0.165105
828		0.165703
827.5		0.165669
827		0.164722
826.5		0.165305
826		0.16472
825.5		0.164706
825		0.166151
824.5		0.164753
824		0.165235
823.5		0.165267
823		0.165568
822.5		0.165398
822		0.16517
821.5		0.165268
821		0.165451
820.5		0.164655
820		0.164602
819.5		0.165166
819		0.164932
818.5		0.165002
818		0.164914
817.5		0.165012
817		0.165433
816.5		0.164834
816		0.164537
815.5		0.164306
815		0.16498
814.5		0.164966
814		0.164432
813.5		0.164681
813		0.164782
812.5		0.164967
812		0.164149
811.5		0.165215
811		0.164133
810.5		0.163671
810		0.163733
809.5		0.163557
809		0.164281
808.5		0.163847
808		0.164515
807.5		0.164514
807		0.164366
806.5		0.164831
806		0.163846
805.5		0.163967
805		0.16458
804.5		0.1631
804		0.163735
803.5		0.163913
803		0.163585
802.5		0.164282
802		0.163738
801.5		0.1638
801		0.164294
800.5		0.162677
800		0.163482
799.5		0.163382
799		0.163239
798.5		0.163267
798		0.162767
797.5		0.16346
797		0.162751
796.5		0.162986
796		0.162956
795.5		0.162837
795		0.163249
794.5		0.1627
794		0.162254
793.5		0.162424
793		0.162481
792.5		0.162384
792		0.162861
791.5		0.162176
791		0.162003
790.5		0.162454
790		0.161599
789.5		0.1623
789		0.162489
788.5		0.162249
788		0.161242
